CUFSM CLI Analysis Results
==========================

MODEL
Material columns: material_id Ex Ey nu_x nu_y G
material_id,Ex,Ey,nu_x,nu_y,G
100,29500,29500,0.3,0.3,11346.15

Node columns: node_id x z dof_x dof_z dof_y dof_rotation stress
node_id,x,z,dof_x,dof_z,dof_y,dof_rotation,stress
1,5,1,1,1,1,1,50
2,5,0.5,1,1,1,1,50
3,5,0,1,1,1,1,50
4,3.75,0,1,1,1,1,50
5,2.5,0,1,1,1,1,50
6,1.25,0,1,1,1,1,50
7,0,0,1,1,1,1,50
8,0,1.5,1,1,1,1,50
9,0,3,1,1,1,1,50
10,0,4.5,1,1,1,1,50
11,0,6,1,1,1,1,50
12,0,7.5,1,1,1,1,50
13,0,9,1,1,1,1,50
14,1.25,9,1,1,1,1,50
15,2.5,9,1,1,1,1,50
16,3.75,9,1,1,1,1,50
17,5,9,1,1,1,1,50
18,5,8.5,1,1,1,1,50
19,5,8,1,1,1,1,50

Element columns: element_id node_i node_j thickness material_id
element_id,node_i,node_j,thickness,material_id
1,1,2,0.1,100
2,2,3,0.1,100
3,3,4,0.1,100
4,4,5,0.1,100
5,5,6,0.1,100
6,6,7,0.1,100
7,7,8,0.1,100
8,8,9,0.1,100
9,9,10,0.1,100
10,10,11,0.1,100
11,11,12,0.1,100
12,12,13,0.1,100
13,13,14,0.1,100
14,14,15,0.1,100
15,15,16,0.1,100
16,16,17,0.1,100
17,17,18,0.1,100
18,18,19,0.1,100

ANALYSIS SETTINGS
boundary_condition,S-S
number_of_lengths,101
minimum_length,1
maximum_length,1000
requested_eigenmodes,10
member_lengths,120
springs_defined,0
constraints_defined,0
cfsm_active,0

SIGNATURE CURVE
half_wavelength,lowest_eigenvalue
28.4803586844,0.667263446602
30.5385550883,0.632049438444
32.7454916288,0.600323424451
35.1119173422,0.574053073931
37.6493580679,0.554382115717
40.370172586,0.541982619118
43.2876128108,0.537283744719
46.4158883361,0.540614044226
49.7702356433,0.552288252795
53.3669923121,0.572658307702
57.2236765935,0.602139131991
61.3590727341,0.641212292447
65.7933224658,0.690402843565
70.5480231072,0.750212819354
75.6463327555,0.820971311791
81.113083079,0.902507321877
86.9749002618,0.993420439945
93.2603346883,0.976147522116
100,0.883385965147
107.226722201,0.791804383403
114.97569954,0.704945721733
120,0.654895028111
123.284673944,0.624681524549
132.194114847,0.551787041065
141.747416293,0.486367357317
151.991108295,0.428142090392
162.975083462,0.376626235773
174.752840001,0.331241580115
187.381742286,0.291383525622
200.923300257,0.256459837317
215.443469003,0.225911907789
231.012970008,0.199225252098
247.707635599,0.175933478522
265.608778295,0.155618387364
284.803586844,0.137907880615
305.385550883,0.122472701238
327.454916288,0.109022669306
351.119173422,0.0973027839122
376.493580679,0.0870894192265
403.70172586,0.0781867422038
432.876128108,0.0704234242984
464.158883361,0.0636496600777
497.702356433,0.0577344552428
533.669923121,0.0525632803887
572.236765935,0.0480358911907
613.590727341,0.0440645463876
657.933224658,0.0405723019858
705.480231072,0.0374915901018
756.463327555,0.0347629787704
811.13083079,0.0316537240806
869.749002618,0.0275324449001
932.603346883,0.0239475363445
1000,0.0208292535043

CRITICAL POINTS
type,half_wavelength,lowest_eigenvalue
overall_minimum,1000,0.0208292535043
local_minimum,7.05480231072,0.352708709855
local_minimum,43.2876128108,0.537283744719

CLASSIFIED LOCAL MINIMA
type,half_wavelength,lowest_eigenvalue,length_index,global_percent,distortional_percent,local_percent,other_percent,dominant_family
local_minimum,7.05480231072,0.352708709855,29,0.271467257723,1.34785106247,98.2280176121,0.152664067707,local
local_minimum,43.2876128108,0.537283744719,55,1.36845796869,93.6358242784,4.94497432477,0.0507434281714,distortional

FAMILY MINIMA
dominant_family,half_wavelength,lowest_eigenvalue,length_index,global_percent,distortional_percent,local_percent,other_percent
distortional,43.2876128108,0.537283744719,55,1.36845796869,93.6358242784,4.94497432477,0.0507434281714
local,7.05480231072,0.352708709855,29,0.271467257723,1.34785106247,98.2280176121,0.152664067707

LOWEST MODE PARTICIPATION
half_wavelength,lowest_eigenvalue,global_percent,distortional_percent,local_percent,other_percent,dominant_family
1,5.47268548405,0.939768363774,0.0269368373293,98.2061427236,0.827152075345,local
1.07226722201,4.77867998627,0.861729087612,0.0278542326498,98.3510256893,0.759390990459,local
1.1497569954,4.17520521038,0.790558013963,0.0290360181147,98.4829383523,0.697467615599,local
1.23284673944,3.65048477185,0.725702505216,0.0305104347399,98.6028888082,0.640898251892,local
1.32194114847,3.19427792473,0.666662465373,0.0323184152937,98.7117758156,0.589243303771,local
1.41747416293,2.79767977454,0.612985010506,0.0345169930602,98.8103951889,0.542102807571,local
1.51991108295,2.45294755018,0.564259688688,0.0371834327513,98.8994446529,0.499112225685,local
1.62975083462,2.15334954709,0.520114027171,0.0404201252837,98.9795275244,0.459938323163,local
1.74752840001,1.89303379635,0.480209367916,0.0443602675305,99.0511551876,0.424275176945,local
1.87381742286,1.66691389894,0.444237078925,0.049174332273,99.1147480614,0.391840527352,local
2.00923300257,1.47056979883,0.411915291835,0.0550773357482,99.1706346106,0.362372761773,local
2.15443469003,1.30016155947,0.382986317242,0.0623369493003,99.2190479133,0.335628820112,local
2.31012970008,1.15235446115,0.357214838814,0.0712826017057,99.2601193311,0.311383228399,local
